hilbert_order,threshold,gt,found,fp,fn,precision,recall,jaccard
14,5,0.9697,8.3636,7.4848,0.0909,0.0655,0.9697,0.6716
14,10,5.2121,24.2727,20.0909,1.0303,0.1728,0.9166,0.4374
14,15,14.1818,37.4545,27.3939,4.1212,0.2674,0.8242,0.3523
14,20,30.3939,54.4848,31.697,7.6061,0.4151,0.7918,0.3866
14,25,49.5455,62.3636,28.3636,15.5455,0.5051,0.7365,0.4446
14,30,68.7273,79.8788,29.2424,18.0909,0.5835,0.7569,0.5202
14,35,86.3333,83.2121,21.2727,24.3939,0.7068,0.7454,0.569
14,40,98.6364,90.3333,17.6667,25.9697,0.7819,0.7651,0.6226
14,45,113.1515,105.1212,20.0,28.0303,0.8103,0.7631,0.6326
14,50,129.1515,110.9394,19.0303,37.2424,0.8332,0.7263,0.6138
14,55,140.697,123.0,15.697,33.3939,0.8772,0.7709,0.6828
14,60,149.6364,141.697,10.6364,18.5758,0.9233,0.8752,0.8163
16,5,0.9697,8.3636,7.4848,0.0909,0.0655,0.9697,0.6716
16,10,5.2121,24.2727,20.0909,1.0303,0.1728,0.9166,0.4374
16,15,14.1818,37.4545,27.3939,4.1212,0.2674,0.8242,0.3523
16,20,30.3939,54.4848,31.697,7.6061,0.4151,0.7918,0.3866
16,25,49.5455,62.3636,28.3636,15.5455,0.5051,0.7365,0.4446
16,30,68.7273,79.8788,29.2424,18.0909,0.5835,0.7569,0.5202
16,35,86.3333,83.2121,21.2727,24.3939,0.7068,0.7454,0.569
16,40,98.6364,90.3333,17.6667,25.9697,0.7819,0.7651,0.6226
16,45,113.1515,105.1212,20.0,28.0303,0.8103,0.7631,0.6326
16,50,129.1515,110.9394,19.0303,37.2424,0.8332,0.7263,0.6138
16,55,140.697,123.0,15.697,33.3939,0.8772,0.7709,0.6828
16,60,149.6364,141.697,10.6364,18.5758,0.9233,0.8752,0.8163
