hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,3370,188,3182,8,0.0558,0.9592,0.0557
2,10,980,6176,947,5229,33,0.1533,0.9663,0.1525
2,15,2560,9559,2470,7089,90,0.2584,0.9648,0.256
2,20,5109,15282,4962,10320,147,0.3247,0.9712,0.3216
2,25,7980,17476,7710,9766,270,0.4412,0.9662,0.4345
2,30,11210,19939,10840,9099,370,0.5437,0.967,0.5338
2,35,14304,21422,13936,7486,368,0.6505,0.9743,0.6396
2,40,16753,22437,16378,6059,375,0.73,0.9776,0.718
2,45,19080,23726,18722,5004,358,0.7891,0.9812,0.7774
2,50,21539,24320,21060,3260,479,0.866,0.9778,0.8492
2,55,23281,24754,22761,1993,520,0.9195,0.9777,0.9006
2,60,24431,24922,23828,1094,603,0.9561,0.9753,0.9335
4,5,196,836,164,672,32,0.1962,0.8367,0.1889
4,10,980,5485,904,4581,76,0.1648,0.9224,0.1626
4,15,2560,9379,2425,6954,135,0.2586,0.9473,0.2549
4,20,5109,14183,4856,9327,253,0.3424,0.9505,0.3364
4,25,7980,17444,7582,9862,398,0.4346,0.9501,0.425
4,30,11210,21124,10675,10449,535,0.5053,0.9523,0.4929
4,35,14304,23051,13662,9389,642,0.5927,0.9551,0.5766
4,40,16753,23496,16006,7490,747,0.6812,0.9554,0.6602
4,45,19080,23975,18246,5729,834,0.761,0.9563,0.7355
4,50,21539,24221,20627,3594,912,0.8516,0.9577,0.8207
4,55,23281,24442,22284,2158,997,0.9117,0.9572,0.876
4,60,24431,24627,23427,1200,1004,0.9513,0.9589,0.914
6,5,196,964,150,814,46,0.1556,0.7653,0.1485
6,10,980,4715,864,3851,116,0.1832,0.8816,0.1788
6,15,2560,8281,2365,5916,195,0.2856,0.9238,0.279
6,20,5109,13541,4792,8749,317,0.3539,0.938,0.3458
6,25,7980,17123,7514,9609,466,0.4388,0.9416,0.4272
6,30,11210,20683,10593,10090,617,0.5122,0.945,0.4973
6,35,14304,22981,13532,9449,772,0.5888,0.946,0.5697
6,40,16753,23308,15856,7452,897,0.6803,0.9465,0.6551
6,45,19080,23728,18058,5670,1022,0.761,0.9464,0.7296
6,50,21539,23787,20403,3384,1136,0.8577,0.9473,0.8186
6,55,23281,24034,22078,1956,1203,0.9186,0.9483,0.8748
6,60,24431,24288,23171,1117,1260,0.954,0.9484,0.907
8,5,196,1341,147,1194,49,0.1096,0.75,0.1058
8,10,980,5399,861,4538,119,0.1595,0.8786,0.156
8,15,2560,9903,2360,7543,200,0.2383,0.9219,0.2336
8,20,5109,14830,4784,10046,325,0.3226,0.9364,0.3157
8,25,7980,18041,7511,10530,469,0.4163,0.9412,0.4058
8,30,11210,20982,10580,10402,630,0.5042,0.9438,0.4895
8,35,14304,22948,13527,9421,777,0.5895,0.9457,0.5702
8,40,16753,23312,15854,7458,899,0.6801,0.9463,0.6548
8,45,19080,23765,18045,5720,1035,0.7593,0.9458,0.7276
8,50,21539,23835,20402,3433,1137,0.856,0.9472,0.817
8,55,23281,24027,22072,1955,1209,0.9186,0.9481,0.8746
8,60,24431,24190,23171,1019,1260,0.9579,0.9484,0.9105
10,5,196,1323,147,1176,49,0.1111,0.75,0.1071
10,10,980,5389,861,4528,119,0.1598,0.8786,0.1563
10,15,2560,9907,2360,7547,200,0.2382,0.9219,0.2335
10,20,5109,14865,4784,10081,325,0.3218,0.9364,0.3149
10,25,7980,18088,7511,10577,469,0.4152,0.9412,0.4048
10,30,11210,21022,10580,10442,630,0.5033,0.9438,0.4886
10,35,14304,22939,13527,9412,777,0.5897,0.9457,0.5704
10,40,16753,23305,15854,7451,899,0.6803,0.9463,0.655
10,45,19080,23759,18045,5714,1035,0.7595,0.9458,0.7278
10,50,21539,23837,20402,3435,1137,0.8559,0.9472,0.8169
10,55,23281,24029,22072,1957,1209,0.9186,0.9481,0.8746
10,60,24431,24190,23171,1019,1260,0.9579,0.9484,0.9105
