hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,141,15,126,181,0.1064,0.0765,0.0466
2,10,980,848,177,671,803,0.2087,0.1806,0.1072
2,15,2560,3428,1129,2299,1431,0.3293,0.441,0.2324
2,20,5109,4707,2439,2268,2670,0.5182,0.4774,0.3306
2,25,7980,6293,3885,2408,4095,0.6174,0.4868,0.374
2,30,11210,8964,5562,3402,5648,0.6205,0.4962,0.3806
2,35,14304,11405,7855,3550,6449,0.6887,0.5491,0.44
2,40,16753,14387,10397,3990,6356,0.7227,0.6206,0.5012
2,45,19080,18270,14052,4218,5028,0.7691,0.7365,0.6031
2,50,21539,20707,17838,2869,3701,0.8614,0.8282,0.7308
2,55,23281,22417,20649,1768,2632,0.9211,0.8869,0.8243
2,60,24431,24008,22955,1053,1476,0.9561,0.9396,0.9008
4,5,196,1064,159,905,37,0.1494,0.8112,0.1444
4,10,980,2912,639,2273,341,0.2194,0.652,0.1964
4,15,2560,5099,1779,3320,781,0.3489,0.6949,0.3026
4,20,5109,7797,3604,4193,1505,0.4622,0.7054,0.3874
4,25,7980,11324,6030,5294,1950,0.5325,0.7556,0.4543
4,30,11210,15400,8875,6525,2335,0.5763,0.7917,0.5004
4,35,14304,17873,11504,6369,2800,0.6437,0.8043,0.5565
4,40,16753,20660,14214,6446,2539,0.688,0.8484,0.6127
4,45,19080,21778,16796,4982,2284,0.7712,0.8803,0.698
4,50,21539,22925,19919,3006,1620,0.8689,0.9248,0.8115
4,55,23281,23683,21907,1776,1374,0.925,0.941,0.8743
4,60,24431,24199,23220,979,1211,0.9595,0.9504,0.9138
6,5,196,749,139,610,57,0.1856,0.7092,0.1725
6,10,980,1986,672,1314,308,0.3384,0.6857,0.2929
6,15,2560,4022,1615,2407,945,0.4015,0.6309,0.3251
6,20,5109,7907,3442,4465,1667,0.4353,0.6737,0.3595
6,25,7980,11443,5779,5664,2201,0.505,0.7242,0.4236
6,30,11210,15608,8693,6915,2517,0.557,0.7755,0.4796
6,35,14304,19036,11654,7382,2650,0.6122,0.8147,0.5374
6,40,16753,20401,14091,6310,2662,0.6907,0.8411,0.611
6,45,19080,21536,16680,4856,2400,0.7745,0.8742,0.6969
6,50,21539,22550,19640,2910,1899,0.871,0.9118,0.8033
6,55,23281,23417,21743,1674,1538,0.9285,0.9339,0.8713
6,60,24431,24180,23214,966,1217,0.96,0.9502,0.914
8,5,196,721,136,585,60,0.1886,0.6939,0.1741
8,10,980,1876,674,1202,306,0.3593,0.6878,0.3089
8,15,2560,3983,1544,2439,1016,0.3876,0.6031,0.3089
8,20,5109,7720,3291,4429,1818,0.4263,0.6442,0.345
8,25,7980,11521,5712,5809,2268,0.4958,0.7158,0.4142
8,30,11210,15380,8418,6962,2792,0.5473,0.7509,0.4632
8,35,14304,17677,11107,6570,3197,0.6283,0.7765,0.5321
8,40,16753,20197,13933,6264,2820,0.6899,0.8317,0.6053
8,45,19080,21481,16640,4841,2440,0.7746,0.8721,0.6956
8,50,21539,22490,19581,2909,1958,0.8707,0.9091,0.8009
8,55,23281,23375,21700,1675,1581,0.9283,0.9321,0.8695
8,60,24431,24172,23203,969,1228,0.9599,0.9497,0.9135
10,5,196,703,135,568,61,0.192,0.6888,0.1767
10,10,980,1865,668,1197,312,0.3582,0.6816,0.3068
10,15,2560,3893,1505,2388,1055,0.3866,0.5879,0.3042
10,20,5109,7731,3286,4445,1823,0.425,0.6432,0.3439
10,25,7980,11581,5729,5852,2251,0.4947,0.7179,0.4142
10,30,11210,15386,8422,6964,2788,0.5474,0.7513,0.4634
10,35,14304,17680,11109,6571,3195,0.6283,0.7766,0.5322
10,40,16753,20198,13934,6264,2819,0.6899,0.8317,0.6054
10,45,19080,21482,16640,4842,2440,0.7746,0.8721,0.6956
10,50,21539,22490,19581,2909,1958,0.8707,0.9091,0.8009
10,55,23281,23376,21701,1675,1580,0.9283,0.9321,0.8696
10,60,24431,24176,23205,971,1226,0.9598,0.9498,0.9135
