hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,3818,196,3622,0,0.0513,1.0,0.0513
2,10,980,9883,976,8907,4,0.0988,0.9959,0.0987
2,15,2560,14591,2540,12051,20,0.1741,0.9922,0.1738
2,20,5109,19314,5049,14265,60,0.2614,0.9883,0.2606
2,25,7980,21084,7854,13230,126,0.3725,0.9842,0.3703
2,30,11210,23121,11022,12099,188,0.4767,0.9832,0.4729
2,35,14304,24149,13979,10170,325,0.5789,0.9773,0.5712
2,40,16753,24290,16108,8182,645,0.6632,0.9615,0.646
2,45,19080,24822,18357,6465,723,0.7395,0.9621,0.7186
2,50,21539,24594,20537,4057,1002,0.835,0.9535,0.8024
2,55,23281,24546,22182,2364,1099,0.9037,0.9528,0.865
2,60,24431,24646,23336,1310,1095,0.9468,0.9552,0.9066
4,5,196,2419,193,2226,3,0.0798,0.9847,0.0797
4,10,980,9675,976,8699,4,0.1009,0.9959,0.1008
4,15,2560,13879,2520,11359,40,0.1816,0.9844,0.181
4,20,5109,18075,5060,13015,49,0.2799,0.9904,0.2792
4,25,7980,20700,7925,12775,55,0.3829,0.9931,0.3818
4,30,11210,23592,11116,12476,94,0.4712,0.9916,0.4693
4,35,14304,24772,14182,10590,122,0.5725,0.9915,0.5697
4,40,16753,24988,16626,8362,127,0.6654,0.9924,0.662
4,45,19080,25269,18881,6388,199,0.7472,0.9896,0.7414
4,50,21539,25509,21292,4217,247,0.8347,0.9885,0.8267
4,55,23281,25545,22962,2583,319,0.8989,0.9863,0.8878
4,60,24431,25518,23991,1527,440,0.9402,0.982,0.9242
6,5,196,2205,188,2017,8,0.0853,0.9592,0.085
6,10,980,8223,974,7249,6,0.1184,0.9939,0.1184
6,15,2560,13371,2522,10849,38,0.1886,0.9852,0.1881
6,20,5109,17952,5032,12920,77,0.2803,0.9849,0.2791
6,25,7980,20932,7927,13005,53,0.3787,0.9934,0.3777
6,30,11210,23407,11105,12302,105,0.4744,0.9906,0.4723
6,35,14304,24739,14202,10537,102,0.5741,0.9929,0.5717
6,40,16753,24985,16614,8371,139,0.665,0.9917,0.6613
6,45,19080,25336,18888,6448,192,0.7455,0.9899,0.7399
6,50,21539,25558,21332,4226,207,0.8347,0.9904,0.8279
6,55,23281,25522,22949,2573,332,0.8992,0.9857,0.8876
6,60,24431,25503,23983,1520,448,0.9404,0.9817,0.9242
8,5,196,2451,190,2261,6,0.0775,0.9694,0.0773
8,10,980,7774,960,6814,20,0.1235,0.9796,0.1232
8,15,2560,13221,2505,10716,55,0.1895,0.9785,0.1887
8,20,5109,18117,5022,13095,87,0.2772,0.983,0.2759
8,25,7980,21482,7952,13530,28,0.3702,0.9965,0.3697
8,30,11210,23572,11119,12453,91,0.4717,0.9919,0.4699
8,35,14304,24748,14210,10538,94,0.5742,0.9934,0.572
8,40,16753,24945,16619,8326,134,0.6662,0.992,0.6627
8,45,19080,25343,18877,6466,203,0.7449,0.9894,0.7389
8,50,21539,25555,21320,4235,219,0.8343,0.9898,0.8272
8,55,23281,25517,22939,2578,342,0.899,0.9853,0.8871
8,60,24431,25503,23982,1521,449,0.9404,0.9816,0.9241
10,5,196,2482,187,2295,9,0.0753,0.9541,0.0751
10,10,980,7651,959,6692,21,0.1253,0.9786,0.125
10,15,2560,13169,2503,10666,57,0.1901,0.9777,0.1892
10,20,5109,18129,5023,13106,86,0.2771,0.9832,0.2758
10,25,7980,21448,7944,13504,36,0.3704,0.9955,0.3698
10,30,11210,23574,11119,12455,91,0.4717,0.9919,0.4698
10,35,14304,24742,14210,10532,94,0.5743,0.9934,0.5722
10,40,16753,24940,16619,8321,134,0.6664,0.992,0.6628
10,45,19080,25335,18875,6460,205,0.745,0.9893,0.739
10,50,21539,25547,21310,4237,229,0.8341,0.9894,0.8267
10,55,23281,25509,22929,2580,352,0.8989,0.9849,0.8866
10,60,24431,25495,23974,1521,457,0.9403,0.9813,0.9238
