hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,5937,194,5743,2,0.0327,0.9898,0.0327
2,10,980,11645,974,10671,6,0.0836,0.9939,0.0836
2,15,2560,18468,2557,15911,3,0.1385,0.9988,0.1384
2,20,5109,22768,5098,17670,11,0.2239,0.9978,0.2238
2,25,7980,24269,7950,16319,30,0.3276,0.9962,0.3272
2,30,11210,25223,11114,14109,96,0.4406,0.9914,0.439
2,35,14304,25966,14297,11669,7,0.5506,0.9995,0.5505
2,40,16753,26082,16736,9346,17,0.6417,0.999,0.6413
2,45,19080,26244,19080,7164,0,0.727,1.0,0.727
2,50,21539,26244,21539,4705,0,0.8207,1.0,0.8207
2,55,23281,26244,23281,2963,0,0.8871,1.0,0.8871
2,60,24431,26244,24431,1813,0,0.9309,1.0,0.9309
4,5,196,3303,181,3122,15,0.0548,0.9235,0.0546
4,10,980,10814,899,9915,81,0.0831,0.9173,0.0825
4,15,2560,17464,2505,14959,55,0.1434,0.9785,0.143
4,20,5109,23782,5103,18679,6,0.2146,0.9988,0.2145
4,25,7980,25039,7974,17065,6,0.3185,0.9992,0.3184
4,30,11210,25718,11210,14508,0,0.4359,1.0,0.4359
4,35,14304,26178,14304,11874,0,0.5464,1.0,0.5464
4,40,16753,26185,16753,9432,0,0.6398,1.0,0.6398
4,45,19080,26244,19080,7164,0,0.727,1.0,0.727
4,50,21539,26244,21539,4705,0,0.8207,1.0,0.8207
4,55,23281,26244,23281,2963,0,0.8871,1.0,0.8871
4,60,24431,26244,24431,1813,0,0.9309,1.0,0.9309
6,5,196,2711,188,2523,8,0.0693,0.9592,0.0691
6,10,980,10950,929,10021,51,0.0848,0.948,0.0844
6,15,2560,17864,2541,15323,19,0.1422,0.9926,0.1421
6,20,5109,22975,5105,17870,4,0.2222,0.9992,0.2222
6,25,7980,24723,7975,16748,5,0.3226,0.9994,0.3225
6,30,11210,25720,11210,14510,0,0.4358,1.0,0.4358
6,35,14304,26182,14304,11878,0,0.5463,1.0,0.5463
6,40,16753,26191,16753,9438,0,0.6396,1.0,0.6396
6,45,19080,26244,19080,7164,0,0.727,1.0,0.727
6,50,21539,26244,21539,4705,0,0.8207,1.0,0.8207
6,55,23281,26244,23281,2963,0,0.8871,1.0,0.8871
6,60,24431,26244,24431,1813,0,0.9309,1.0,0.9309
8,5,196,2564,188,2376,8,0.0733,0.9592,0.0731
8,10,980,10765,952,9813,28,0.0884,0.9714,0.0882
8,15,2560,17906,2546,15360,14,0.1422,0.9945,0.1421
8,20,5109,22926,5105,17821,4,0.2227,0.9992,0.2226
8,25,7980,24633,7975,16658,5,0.3238,0.9994,0.3237
8,30,11210,25721,11210,14511,0,0.4358,1.0,0.4358
8,35,14304,26184,14304,11880,0,0.5463,1.0,0.5463
8,40,16753,26194,16753,9441,0,0.6396,1.0,0.6396
8,45,19080,26244,19080,7164,0,0.727,1.0,0.727
8,50,21539,26244,21539,4705,0,0.8207,1.0,0.8207
8,55,23281,26244,23281,2963,0,0.8871,1.0,0.8871
8,60,24431,26244,24431,1813,0,0.9309,1.0,0.9309
10,5,196,2611,185,2426,11,0.0709,0.9439,0.0706
10,10,980,10876,951,9925,29,0.0874,0.9704,0.0872
10,15,2560,17757,2547,15210,13,0.1434,0.9949,0.1433
10,20,5109,22967,5109,17858,0,0.2224,1.0,0.2224
10,25,7980,24631,7975,16656,5,0.3238,0.9994,0.3237
10,30,11210,25721,11210,14511,0,0.4358,1.0,0.4358
10,35,14304,26184,14304,11880,0,0.5463,1.0,0.5463
10,40,16753,26194,16753,9441,0,0.6396,1.0,0.6396
10,45,19080,26244,19080,7164,0,0.727,1.0,0.727
10,50,21539,26244,21539,4705,0,0.8207,1.0,0.8207
10,55,23281,26244,23281,2963,0,0.8871,1.0,0.8871
10,60,24431,26244,24431,1813,0,0.9309,1.0,0.9309
