hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,3191,191,3000,5,0.0599,0.9745,0.0598
2,10,980,6387,926,5461,54,0.145,0.9449,0.1438
2,15,2560,10457,2192,8265,368,0.2096,0.8562,0.2025
2,20,5109,14214,3955,10259,1154,0.2782,0.7741,0.2574
2,25,7980,17234,6393,10841,1587,0.371,0.8011,0.3397
2,30,11210,20128,9845,10283,1365,0.4891,0.8782,0.4581
2,35,14304,21967,13388,8579,916,0.6095,0.936,0.5851
2,40,16753,23143,16140,7003,613,0.6974,0.9634,0.6794
2,45,19080,23908,18502,5406,578,0.7739,0.9697,0.7556
2,50,21539,24477,20977,3500,562,0.857,0.9739,0.8378
2,55,23281,24656,22655,2001,626,0.9188,0.9731,0.8961
2,60,24431,24716,23598,1118,833,0.9548,0.9659,0.9236
4,5,196,1666,156,1510,40,0.0936,0.7959,0.0914
4,10,980,4774,665,4109,315,0.1393,0.6786,0.1307
4,15,2560,8765,1705,7060,855,0.1945,0.666,0.1772
4,20,5109,13263,3653,9610,1456,0.2754,0.715,0.2482
4,25,7980,16753,6208,10545,1772,0.3706,0.7779,0.3351
4,30,11210,20248,9907,10341,1303,0.4893,0.8838,0.4597
4,35,14304,22477,13491,8986,813,0.6002,0.9432,0.5793
4,40,16753,23556,16184,7372,569,0.687,0.966,0.6708
4,45,19080,24181,18578,5603,502,0.7683,0.9737,0.7527
4,50,21539,24617,21027,3590,512,0.8542,0.9762,0.8368
4,55,23281,24746,22672,2074,609,0.9162,0.9738,0.8942
4,60,24431,24766,23617,1149,814,0.9536,0.9667,0.9233
6,5,196,1280,112,1168,84,0.0875,0.5714,0.0821
6,10,980,4613,655,3958,325,0.142,0.6684,0.1326
6,15,2560,8817,1755,7062,805,0.199,0.6855,0.1824
6,20,5109,13344,3713,9631,1396,0.2783,0.7268,0.2519
6,25,7980,16800,6222,10578,1758,0.3704,0.7797,0.3353
6,30,11210,20295,9930,10365,1280,0.4893,0.8858,0.4603
6,35,14304,22527,13491,9036,813,0.5989,0.9432,0.578
6,40,16753,23566,16184,7382,569,0.6868,0.966,0.6706
6,45,19080,24181,18578,5603,502,0.7683,0.9737,0.7527
6,50,21539,24617,21027,3590,512,0.8542,0.9762,0.8368
6,55,23281,24746,22672,2074,609,0.9162,0.9738,0.8942
6,60,24431,24766,23617,1149,814,0.9536,0.9667,0.9233
8,5,196,1238,103,1135,93,0.0832,0.5255,0.0774
8,10,980,4599,661,3938,319,0.1437,0.6745,0.1344
8,15,2560,8817,1748,7069,812,0.1983,0.6828,0.1815
8,20,5109,13352,3717,9635,1392,0.2784,0.7275,0.2521
8,25,7980,16879,6286,10593,1694,0.3724,0.7877,0.3384
8,30,11210,20323,9944,10379,1266,0.4893,0.8871,0.4606
8,35,14304,22574,13508,9066,796,0.5984,0.9444,0.578
8,40,16753,23577,16184,7393,569,0.6864,0.966,0.6703
8,45,19080,24222,18583,5639,497,0.7672,0.974,0.7518
8,50,21539,24657,21031,3626,508,0.8529,0.9764,0.8357
8,55,23281,24766,22674,2092,607,0.9155,0.9739,0.8936
8,60,24431,24776,23618,1158,813,0.9533,0.9667,0.923
10,5,196,1207,99,1108,97,0.082,0.5051,0.0759
10,10,980,4585,662,3923,318,0.1444,0.6755,0.135
10,15,2560,8815,1745,7070,815,0.198,0.6816,0.1812
10,20,5109,13359,3719,9640,1390,0.2784,0.7279,0.2522
10,25,7980,16879,6286,10593,1694,0.3724,0.7877,0.3384
10,30,11210,20323,9944,10379,1266,0.4893,0.8871,0.4606
10,35,14304,22574,13508,9066,796,0.5984,0.9444,0.578
10,40,16753,23577,16184,7393,569,0.6864,0.966,0.6703
10,45,19080,24242,18585,5657,495,0.7666,0.9741,0.7513
10,50,21539,24657,21031,3626,508,0.8529,0.9764,0.8357
10,55,23281,24776,22675,2101,606,0.9152,0.974,0.8933
10,60,24431,24776,23618,1158,813,0.9533,0.9667,0.923
