hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,2050,190,1860,6,0.0927,0.9694,0.0924
2,10,980,5796,950,4846,30,0.1639,0.9694,0.1631
2,15,2560,9588,2476,7112,84,0.2582,0.9672,0.256
2,20,5109,15452,4984,10468,125,0.3225,0.9755,0.32
2,25,7980,17600,7724,9876,256,0.4389,0.9679,0.4326
2,30,11210,19946,10851,9095,359,0.544,0.968,0.5344
2,35,14304,21461,13955,7506,349,0.6502,0.9756,0.6398
2,40,16753,22460,16383,6077,370,0.7294,0.9779,0.7176
2,45,19080,23732,18728,5004,352,0.7891,0.9816,0.7776
2,50,21539,24408,21132,3276,407,0.8658,0.9811,0.8516
2,55,23281,24756,22763,1993,518,0.9195,0.9778,0.9006
2,60,24431,24928,23834,1094,597,0.9561,0.9756,0.9338
4,5,196,633,176,457,20,0.278,0.898,0.2695
4,10,980,5366,911,4455,69,0.1698,0.9296,0.1676
4,15,2560,9357,2429,6928,131,0.2596,0.9488,0.256
4,20,5109,14186,4859,9327,250,0.3425,0.9511,0.3366
4,25,7980,17451,7586,9865,394,0.4347,0.9506,0.4251
4,30,11210,21124,10675,10449,535,0.5053,0.9523,0.4929
4,35,14304,23066,13677,9389,627,0.593,0.9562,0.5773
4,40,16753,23499,16009,7490,744,0.6813,0.9556,0.6604
4,45,19080,23977,18248,5729,832,0.7611,0.9564,0.7355
4,50,21539,24221,20627,3594,912,0.8516,0.9577,0.8207
4,55,23281,24442,22284,2158,997,0.9117,0.9572,0.876
4,60,24431,24627,23427,1200,1004,0.9513,0.9589,0.914
6,5,196,956,151,805,45,0.1579,0.7704,0.1508
6,10,980,4710,865,3845,115,0.1837,0.8827,0.1793
6,15,2560,8283,2366,5917,194,0.2856,0.9242,0.2791
6,20,5109,13543,4794,8749,315,0.354,0.9383,0.3459
6,25,7980,17123,7514,9609,466,0.4388,0.9416,0.4272
6,30,11210,20683,10593,10090,617,0.5122,0.945,0.4973
6,35,14304,22984,13535,9449,769,0.5889,0.9462,0.5698
6,40,16753,23313,15861,7452,892,0.6804,0.9468,0.6553
6,45,19080,23736,18066,5670,1014,0.7611,0.9469,0.7299
6,50,21539,23789,20405,3384,1134,0.8577,0.9474,0.8187
6,55,23281,24041,22085,1956,1196,0.9186,0.9486,0.8751
6,60,24431,24298,23181,1117,1250,0.954,0.9488,0.9074
8,5,196,1341,147,1194,49,0.1096,0.75,0.1058
8,10,980,5399,861,4538,119,0.1595,0.8786,0.156
8,15,2560,9903,2360,7543,200,0.2383,0.9219,0.2336
8,20,5109,14830,4784,10046,325,0.3226,0.9364,0.3157
8,25,7980,18041,7511,10530,469,0.4163,0.9412,0.4058
8,30,11210,20982,10580,10402,630,0.5042,0.9438,0.4895
8,35,14304,22948,13527,9421,777,0.5895,0.9457,0.5702
8,40,16753,23312,15854,7458,899,0.6801,0.9463,0.6548
8,45,19080,23765,18045,5720,1035,0.7593,0.9458,0.7276
8,50,21539,23835,20402,3433,1137,0.856,0.9472,0.817
8,55,23281,24027,22072,1955,1209,0.9186,0.9481,0.8746
8,60,24431,24190,23171,1019,1260,0.9579,0.9484,0.9105
10,5,196,1323,147,1176,49,0.1111,0.75,0.1071
10,10,980,5389,861,4528,119,0.1598,0.8786,0.1563
10,15,2560,9907,2360,7547,200,0.2382,0.9219,0.2335
10,20,5109,14865,4784,10081,325,0.3218,0.9364,0.3149
10,25,7980,18088,7511,10577,469,0.4152,0.9412,0.4048
10,30,11210,21022,10580,10442,630,0.5033,0.9438,0.4886
10,35,14304,22939,13527,9412,777,0.5897,0.9457,0.5704
10,40,16753,23305,15854,7451,899,0.6803,0.9463,0.655
10,45,19080,23759,18045,5714,1035,0.7595,0.9458,0.7278
10,50,21539,23837,20402,3435,1137,0.8559,0.9472,0.8169
10,55,23281,24029,22072,1957,1209,0.9186,0.9481,0.8746
10,60,24431,24190,23171,1019,1260,0.9579,0.9484,0.9105
