hilbert_order,q_node,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf130,10,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf130,15,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf130,20,13,144,12,132,1,0.08333333333333333,0.9230769230769231,0.08275862068965517
2,clab-nebula-serf130,25,14,144,13,131,1,0.09027777777777778,0.9285714285714286,0.0896551724137931
2,clab-nebula-serf130,30,24,161,24,137,0,0.14906832298136646,1.0,0.14906832298136646
2,clab-nebula-serf130,35,41,161,41,120,0,0.2546583850931677,1.0,0.2546583850931677
2,clab-nebula-serf130,40,53,161,53,108,0,0.32919254658385094,1.0,0.32919254658385094
2,clab-nebula-serf130,45,84,161,84,77,0,0.5217391304347826,1.0,0.5217391304347826
2,clab-nebula-serf130,50,111,161,111,50,0,0.6894409937888198,1.0,0.6894409937888198
2,clab-nebula-serf130,55,136,161,136,25,0,0.84472049689441,1.0,0.84472049689441
2,clab-nebula-serf130,60,146,161,146,15,0,0.906832298136646,1.0,0.906832298136646
2,clab-nebula-serf161,5,4,5,4,1,0,0.8,1.0,0.8
2,clab-nebula-serf161,10,4,5,4,1,0,0.8,1.0,0.8
2,clab-nebula-serf161,15,5,5,5,0,0,1.0,1.0,1.0
2,clab-nebula-serf161,20,10,155,10,145,0,0.06451612903225806,1.0,0.06451612903225806
2,clab-nebula-serf161,25,22,155,22,133,0,0.14193548387096774,1.0,0.14193548387096774
2,clab-nebula-serf161,30,36,155,36,119,0,0.23225806451612904,1.0,0.23225806451612904
2,clab-nebula-serf161,35,42,155,42,113,0,0.2709677419354839,1.0,0.2709677419354839
2,clab-nebula-serf161,40,58,155,58,97,0,0.3741935483870968,1.0,0.3741935483870968
2,clab-nebula-serf161,45,79,155,79,76,0,0.5096774193548387,1.0,0.5096774193548387
2,clab-nebula-serf161,50,117,155,117,38,0,0.7548387096774194,1.0,0.7548387096774194
2,clab-nebula-serf161,55,139,155,137,18,2,0.8838709677419355,0.9856115107913669,0.8726114649681529
2,clab-nebula-serf161,60,149,155,147,8,2,0.9483870967741935,0.9865771812080537,0.9363057324840764
2,clab-nebula-serf32,5,3,18,3,15,0,0.16666666666666666,1.0,0.16666666666666666
2,clab-nebula-serf32,10,19,24,17,7,2,0.7083333333333334,0.8947368421052632,0.6538461538461539
2,clab-nebula-serf32,15,32,48,28,20,4,0.5833333333333334,0.875,0.5384615384615384
2,clab-nebula-serf32,20,59,128,59,69,0,0.4609375,1.0,0.4609375
2,clab-nebula-serf32,25,88,161,88,73,0,0.546583850931677,1.0,0.546583850931677
2,clab-nebula-serf32,30,95,161,95,66,0,0.5900621118012422,1.0,0.5900621118012422
2,clab-nebula-serf32,35,108,161,108,53,0,0.6708074534161491,1.0,0.6708074534161491
2,clab-nebula-serf32,40,121,161,121,40,0,0.7515527950310559,1.0,0.7515527950310559
2,clab-nebula-serf32,45,124,161,124,37,0,0.7701863354037267,1.0,0.7701863354037267
2,clab-nebula-serf32,50,137,161,137,24,0,0.8509316770186336,1.0,0.8509316770186336
2,clab-nebula-serf32,55,154,161,154,7,0,0.9565217391304348,1.0,0.9565217391304348
2,clab-nebula-serf32,60,155,161,155,6,0,0.9627329192546584,1.0,0.9627329192546584
2,clab-nebula-serf63,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf63,10,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf63,15,6,101,6,95,0,0.0594059405940594,1.0,0.0594059405940594
2,clab-nebula-serf63,20,32,127,32,95,0,0.25196850393700787,1.0,0.25196850393700787
2,clab-nebula-serf63,25,64,127,64,63,0,0.5039370078740157,1.0,0.5039370078740157
2,clab-nebula-serf63,30,84,127,82,45,2,0.6456692913385826,0.9761904761904762,0.6356589147286822
2,clab-nebula-serf63,35,103,127,99,28,4,0.7795275590551181,0.9611650485436893,0.7557251908396947
2,clab-nebula-serf63,40,119,155,117,38,2,0.7548387096774194,0.9831932773109243,0.7452229299363057
2,clab-nebula-serf63,45,124,155,122,33,2,0.7870967741935484,0.9838709677419355,0.7770700636942676
2,clab-nebula-serf63,50,128,155,126,29,2,0.8129032258064516,0.984375,0.802547770700637
2,clab-nebula-serf63,55,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf63,60,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf45,5,2,64,2,62,0,0.03125,1.0,0.03125
2,clab-nebula-serf45,10,8,128,8,120,0,0.0625,1.0,0.0625
2,clab-nebula-serf45,15,22,128,22,106,0,0.171875,1.0,0.171875
2,clab-nebula-serf45,20,40,128,40,88,0,0.3125,1.0,0.3125
2,clab-nebula-serf45,25,80,128,80,48,0,0.625,1.0,0.625
2,clab-nebula-serf45,30,90,128,88,40,2,0.6875,0.9777777777777777,0.676923076923077
2,clab-nebula-serf45,35,118,128,106,22,12,0.828125,0.8983050847457628,0.7571428571428571
2,clab-nebula-serf45,40,121,128,109,19,12,0.8515625,0.9008264462809917,0.7785714285714286
2,clab-nebula-serf45,45,124,128,111,17,13,0.8671875,0.8951612903225806,0.7872340425531915
2,clab-nebula-serf45,50,145,155,143,12,2,0.9225806451612903,0.9862068965517241,0.910828025477707
2,clab-nebula-serf45,55,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf45,60,155,155,153,2,2,0.9870967741935484,0.9870967741935484,0.9745222929936306
2,clab-nebula-serf49,5,4,64,4,60,0,0.0625,1.0,0.0625
2,clab-nebula-serf49,10,14,128,14,114,0,0.109375,1.0,0.109375
2,clab-nebula-serf49,15,30,128,30,98,0,0.234375,1.0,0.234375
2,clab-nebula-serf49,20,67,128,67,61,0,0.5234375,1.0,0.5234375
2,clab-nebula-serf49,25,84,128,84,44,0,0.65625,1.0,0.65625
2,clab-nebula-serf49,30,106,128,100,28,6,0.78125,0.9433962264150944,0.746268656716418
2,clab-nebula-serf49,35,121,128,109,19,12,0.8515625,0.9008264462809917,0.7785714285714286
2,clab-nebula-serf49,40,124,128,111,17,13,0.8671875,0.8951612903225806,0.7872340425531915
2,clab-nebula-serf49,45,135,155,133,22,2,0.8580645161290322,0.9851851851851852,0.8471337579617835
2,clab-nebula-serf49,50,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf49,55,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf49,60,157,155,155,0,2,1.0,0.9872611464968153,0.9872611464968153
2,clab-nebula-serf83,5,0,23,0,23,0,0.0,0.0,0.0
2,clab-nebula-serf83,10,3,130,3,127,0,0.023076923076923078,1.0,0.023076923076923078
2,clab-nebula-serf83,15,14,161,14,147,0,0.08695652173913043,1.0,0.08695652173913043
2,clab-nebula-serf83,20,33,161,33,128,0,0.20496894409937888,1.0,0.20496894409937888
2,clab-nebula-serf83,25,50,161,50,111,0,0.3105590062111801,1.0,0.3105590062111801
2,clab-nebula-serf83,30,79,161,79,82,0,0.4906832298136646,1.0,0.4906832298136646
2,clab-nebula-serf83,35,109,161,109,52,0,0.6770186335403726,1.0,0.6770186335403726
2,clab-nebula-serf83,40,119,161,119,42,0,0.7391304347826086,1.0,0.7391304347826086
2,clab-nebula-serf83,45,128,161,128,33,0,0.7950310559006211,1.0,0.7950310559006211
2,clab-nebula-serf83,50,140,161,140,21,0,0.8695652173913043,1.0,0.8695652173913043
2,clab-nebula-serf83,55,154,161,154,7,0,0.9565217391304348,1.0,0.9565217391304348
2,clab-nebula-serf83,60,156,161,156,5,0,0.968944099378882,1.0,0.968944099378882
2,clab-nebula-serf91,5,3,23,3,20,0,0.13043478260869565,1.0,0.13043478260869565
2,clab-nebula-serf91,10,17,130,17,113,0,0.13076923076923078,1.0,0.13076923076923078
2,clab-nebula-serf91,15,36,130,34,96,2,0.26153846153846155,0.9444444444444444,0.25757575757575757
2,clab-nebula-serf91,20,56,161,56,105,0,0.34782608695652173,1.0,0.34782608695652173
2,clab-nebula-serf91,25,81,161,81,80,0,0.5031055900621118,1.0,0.5031055900621118
2,clab-nebula-serf91,30,112,161,112,49,0,0.6956521739130435,1.0,0.6956521739130435
2,clab-nebula-serf91,35,119,161,119,42,0,0.7391304347826086,1.0,0.7391304347826086
2,clab-nebula-serf91,40,129,161,129,32,0,0.8012422360248447,1.0,0.8012422360248447
2,clab-nebula-serf91,45,146,161,146,15,0,0.906832298136646,1.0,0.906832298136646
2,clab-nebula-serf91,50,154,161,154,7,0,0.9565217391304348,1.0,0.9565217391304348
2,clab-nebula-serf91,55,157,161,157,4,0,0.9751552795031055,1.0,0.9751552795031055
2,clab-nebula-serf91,60,161,161,161,0,0,1.0,1.0,1.0
2,clab-nebula-serf136,5,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf136,10,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf136,15,2,11,2,9,0,0.18181818181818182,1.0,0.18181818181818182
2,clab-nebula-serf136,20,14,144,13,131,1,0.09027777777777778,0.9285714285714286,0.0896551724137931
2,clab-nebula-serf136,25,18,161,18,143,0,0.11180124223602485,1.0,0.11180124223602485
