hilbert_order,q_node,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,0,0,0,0,0,0,0,0
2,clab-nebula-serf130,10,0,0,0,0,0,0,0,0
2,clab-nebula-serf130,15,0,0,0,0,0,0,0,0
2,clab-nebula-serf130,20,13,0,0,0,13,0,0.0,0.0
2,clab-nebula-serf130,25,14,11,11,0,3,1.0,0.7857142857142857,0.7857142857142857
2,clab-nebula-serf130,30,24,11,11,0,13,1.0,0.4583333333333333,0.4583333333333333
2,clab-nebula-serf130,35,41,50,20,30,21,0.4,0.4878048780487805,0.28169014084507044
2,clab-nebula-serf130,40,53,101,34,67,19,0.33663366336633666,0.6415094339622641,0.2833333333333333
2,clab-nebula-serf130,45,84,106,60,46,24,0.5660377358490566,0.7142857142857143,0.46153846153846156
2,clab-nebula-serf130,50,111,134,87,47,24,0.6492537313432836,0.7837837837837838,0.5506329113924051
2,clab-nebula-serf130,55,136,134,112,22,24,0.835820895522388,0.8235294117647058,0.7088607594936709
2,clab-nebula-serf130,60,146,66,59,7,87,0.8939393939393939,0.4041095890410959,0.38562091503267976
2,clab-nebula-serf161,5,4,0,0,0,4,0,0,0
2,clab-nebula-serf161,10,4,0,0,0,4,0,0.0,0.0
2,clab-nebula-serf161,15,5,12,0,12,5,0.0,0.0,0.0
2,clab-nebula-serf161,20,10,16,1,15,9,0.0625,0.1,0.04
2,clab-nebula-serf161,25,22,63,10,53,12,0.15873015873015872,0.45454545454545453,0.13333333333333333
2,clab-nebula-serf161,30,36,57,19,38,17,0.3333333333333333,0.5277777777777778,0.25675675675675674
2,clab-nebula-serf161,35,42,100,25,75,17,0.25,0.5952380952380952,0.21367521367521367
2,clab-nebula-serf161,40,58,126,33,93,25,0.2619047619047619,0.5689655172413793,0.2185430463576159
2,clab-nebula-serf161,45,79,133,54,79,25,0.40601503759398494,0.6835443037974683,0.34177215189873417
2,clab-nebula-serf161,50,117,133,92,41,25,0.6917293233082706,0.7863247863247863,0.5822784810126582
2,clab-nebula-serf161,55,139,65,57,8,82,0.8769230769230769,0.41007194244604317,0.3877551020408163
2,clab-nebula-serf161,60,149,65,60,5,89,0.9230769230769231,0.40268456375838924,0.38961038961038963
2,clab-nebula-serf32,5,3,0,0,0,3,0,0.0,0.0
2,clab-nebula-serf32,10,19,0,0,0,19,0,0.0,0.0
2,clab-nebula-serf32,15,32,30,10,20,22,0.3333333333333333,0.3125,0.19230769230769232
2,clab-nebula-serf32,20,59,49,42,7,17,0.8571428571428571,0.711864406779661,0.6363636363636364
2,clab-nebula-serf32,25,88,70,66,4,22,0.9428571428571428,0.75,0.717391304347826
2,clab-nebula-serf32,30,95,70,70,0,25,1.0,0.7368421052631579,0.7368421052631579
2,clab-nebula-serf32,35,108,71,42,29,66,0.5915492957746479,0.3888888888888889,0.30656934306569344
2,clab-nebula-serf32,40,121,71,54,17,67,0.7605633802816901,0.4462809917355372,0.391304347826087
2,clab-nebula-serf32,45,124,66,51,15,73,0.7727272727272727,0.4112903225806452,0.3669064748201439
2,clab-nebula-serf32,50,137,66,55,11,82,0.8333333333333334,0.40145985401459855,0.3716216216216216
2,clab-nebula-serf32,55,154,66,66,0,88,1.0,0.42857142857142855,0.42857142857142855
2,clab-nebula-serf32,60,155,161,155,6,0,0.9627329192546584,1.0,0.9627329192546584
2,clab-nebula-serf63,5,0,0,0,0,0,0,0,0
2,clab-nebula-serf63,10,0,0,0,0,0,0,0,0
2,clab-nebula-serf63,15,6,0,0,0,6,0,0,0
2,clab-nebula-serf63,20,32,0,0,0,32,0,0.0,0.0
2,clab-nebula-serf63,25,64,24,20,4,44,0.8333333333333334,0.3125,0.29411764705882354
2,clab-nebula-serf63,30,84,28,25,3,59,0.8928571428571429,0.2976190476190476,0.28735632183908044
2,clab-nebula-serf63,35,103,44,43,1,60,0.9772727272727273,0.4174757281553398,0.41346153846153844
2,clab-nebula-serf63,40,119,115,112,3,7,0.9739130434782609,0.9411764705882353,0.9180327868852459
2,clab-nebula-serf63,45,124,66,51,15,73,0.7727272727272727,0.4112903225806452,0.3669064748201439
2,clab-nebula-serf63,50,128,66,53,13,75,0.803030303030303,0.4140625,0.375886524822695
2,clab-nebula-serf63,55,154,65,65,0,89,1.0,0.42207792207792205,0.42207792207792205
2,clab-nebula-serf63,60,154,65,65,0,89,1.0,0.42207792207792205,0.42207792207792205
2,clab-nebula-serf45,5,2,0,0,0,2,0,0,0
2,clab-nebula-serf45,10,8,0,0,0,8,0,0.0,0.0
2,clab-nebula-serf45,15,22,0,0,0,22,0,0.0,0.0
2,clab-nebula-serf45,20,40,24,13,11,27,0.5416666666666666,0.325,0.2549019607843137
2,clab-nebula-serf45,25,80,64,58,6,22,0.90625,0.725,0.6744186046511628
2,clab-nebula-serf45,30,90,70,64,6,26,0.9142857142857143,0.7111111111111111,0.6666666666666666
2,clab-nebula-serf45,35,118,115,111,4,7,0.9652173913043478,0.940677966101695,0.9098360655737705
2,clab-nebula-serf45,40,121,71,54,17,67,0.7605633802816901,0.4462809917355372,0.391304347826087
2,clab-nebula-serf45,45,124,67,52,15,72,0.7761194029850746,0.41935483870967744,0.37410071942446044
2,clab-nebula-serf45,50,145,66,59,7,86,0.8939393939393939,0.4068965517241379,0.3881578947368421
