hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,4189,196,3993,0,0.0468,1.0,0.0468
2,10,980,8248,967,7281,13,0.1172,0.9867,0.1171
2,15,2560,12190,2514,9676,46,0.2062,0.982,0.2055
2,20,5109,17701,5047,12654,62,0.2851,0.9879,0.2841
2,25,7980,20247,7858,12389,122,0.3881,0.9847,0.3858
2,30,11210,22312,10982,11330,228,0.4922,0.9797,0.4872
2,35,14304,23684,14034,9650,270,0.5926,0.9811,0.5859
2,40,16753,24309,16503,7806,250,0.6789,0.9851,0.672
2,45,19080,25188,18859,6329,221,0.7487,0.9884,0.7422
2,50,21539,25300,21362,3938,177,0.8443,0.9918,0.8385
2,55,23281,25632,23118,2514,163,0.9019,0.993,0.8962
2,60,24431,25540,24172,1368,259,0.9464,0.9894,0.9369
4,5,196,2019,194,1825,2,0.0961,0.9898,0.096
4,10,980,8910,974,7936,6,0.1093,0.9939,0.1092
4,15,2560,12742,2510,10232,50,0.197,0.9805,0.1962
4,20,5109,16856,4982,11874,127,0.2956,0.9751,0.2934
4,25,7980,19601,7757,11844,223,0.3957,0.9721,0.3913
4,30,11210,22493,10973,11520,237,0.4878,0.9789,0.4828
4,35,14304,23952,14070,9882,234,0.5874,0.9836,0.5817
4,40,16753,24244,16469,7775,284,0.6793,0.983,0.6714
4,45,19080,24835,18803,6032,277,0.7571,0.9855,0.7488
4,50,21539,25184,21143,4041,396,0.8395,0.9816,0.8265
4,55,23281,25343,22796,2547,485,0.8995,0.9792,0.8826
4,60,24431,25486,23982,1504,449,0.941,0.9816,0.9247
6,5,196,1788,195,1593,1,0.1091,0.9949,0.109
6,10,980,7365,969,6396,11,0.1316,0.9888,0.1314
6,15,2560,12059,2486,9573,74,0.2062,0.9711,0.2049
6,20,5109,16811,5002,11809,107,0.2975,0.9791,0.2957
6,25,7980,19975,7846,12129,134,0.3928,0.9832,0.3902
6,30,11210,21939,11043,10896,167,0.5034,0.9851,0.4995
6,35,14304,24328,14134,10194,170,0.581,0.9881,0.5769
6,40,16753,24900,16633,8267,120,0.668,0.9928,0.6648
6,45,19080,25411,18930,6481,150,0.745,0.9921,0.7406
6,50,21539,25968,21495,4473,44,0.8277,0.998,0.8263
6,55,23281,25900,23148,2752,133,0.8937,0.9943,0.8892
6,60,24431,25895,24320,1575,111,0.9392,0.9955,0.9352
8,5,196,2017,189,1828,7,0.0937,0.9643,0.0934
8,10,980,6813,947,5866,33,0.139,0.9663,0.1383
8,15,2560,12018,2466,9552,94,0.2052,0.9633,0.2036
8,20,5109,16922,4952,11970,157,0.2926,0.9693,0.2899
8,25,7980,20232,7841,12391,139,0.3876,0.9826,0.3849
8,30,11210,22501,11119,11382,91,0.4942,0.9919,0.4922
8,35,14304,24867,14253,10614,51,0.5732,0.9964,0.572
8,40,16753,25196,16736,8460,17,0.6642,0.999,0.6638
8,45,19080,25759,19055,6704,25,0.7397,0.9987,0.739
8,50,21539,26019,21526,4493,13,0.8273,0.9994,0.8269
8,55,23281,26062,23279,2783,2,0.8932,0.9999,0.8931
8,60,24431,26042,24431,1611,0,0.9381,1.0,0.9381
10,5,196,1715,181,1534,15,0.1055,0.9235,0.1046
10,10,980,6522,939,5583,41,0.144,0.9582,0.1431
10,15,2560,11874,2461,9413,99,0.2073,0.9613,0.2055
10,20,5109,16928,4951,11977,158,0.2925,0.9691,0.2898
10,25,7980,20306,7857,12449,123,0.3869,0.9846,0.3846
10,30,11210,22564,11127,11437,83,0.4931,0.9926,0.4913
10,35,14304,24876,14258,10618,46,0.5732,0.9968,0.5721
10,40,16753,25198,16747,8451,6,0.6646,0.9996,0.6645
10,45,19080,25759,19055,6704,25,0.7397,0.9987,0.739
10,50,21539,26019,21526,4493,13,0.8273,0.9994,0.8269
10,55,23281,25996,23275,2721,6,0.8953,0.9997,0.8951
10,60,24431,26042,24431,1611,0,0.9381,1.0,0.9381
