=== Intra-network pings for net_1 ===
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf8 (10.0.1.17): 14.585ms (test duration: 67ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf9 (10.0.1.18): 12.217ms (test duration: 61ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf10 (10.0.1.19): 12.934ms (test duration: 79ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf11 (10.0.1.20): 12.069ms (test duration: 67ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf12 (10.0.1.21): 19.938ms (test duration: 72ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf13 (10.0.1.22): 17.020ms (test duration: 66ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf14 (10.0.1.23): 19.692ms (test duration: 62ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf6 (10.0.1.15): 12.305ms (test duration: 78ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf7 (10.0.1.16): 12.471ms (test duration: 72ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf8 (10.0.1.17): 14.745ms (test duration: 74ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf9 (10.0.1.18): 12.516ms (test duration: 66ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf10 (10.0.1.19): 12.898ms (test duration: 65ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf11 (10.0.1.20): 12.139ms (test duration: 71ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf12 (10.0.1.21): 20.278ms (test duration: 62ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf13 (10.0.1.22): 17.018ms (test duration: 74ms)
