=== Intra-network pings for net_1 ===
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf7 (10.0.1.16): 10.946ms (test duration: 9.172s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf8 (10.0.1.17): 11.966ms (test duration: 9.182s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf9 (10.0.1.18): 10.970ms (test duration: 9.176s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf10 (10.0.1.19): 10.309ms (test duration: 9.24s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf11 (10.0.1.20): 9.623ms (test duration: 9.182s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf12 (10.0.1.21): 15.875ms (test duration: 9.22s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf13 (10.0.1.22): 14.315ms (test duration: 9.197s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf14 (10.0.1.23): 15.707ms (test duration: 9.214s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf6 (10.0.1.15): 11.654ms (test duration: 9.183s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf7 (10.0.1.16): 11.761ms (test duration: 9.169s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf8 (10.0.1.17): 12.787ms (test duration: 9.225s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf9 (10.0.1.18): 11.840ms (test duration: 9.185s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf10 (10.0.1.19): 11.129ms (test duration: 9.207s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf11 (10.0.1.20): 10.446ms (test duration: 9.147s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf12 (10.0.1.21): 16.643ms (test duration: 9.195s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf13 (10.0.1.22): 15.060ms (test duration: 9.185s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf14 (10.0.1.23): 16.508ms (test duration: 9.221s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf7 (10.0.1.16): 4.671ms (test duration: 9.184s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf8 (10.0.1.17): 5.677ms (test duration: 9.177s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf9 (10.0.1.18): 4.704ms (test duration: 9.179s)
2025/04/15 14:19:23 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf10 (10.0.1.19): 4.000ms (test duration: 9.185s)
