hilbert_order,q_node,threshold,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf64,20,7,101,6,95,1,0.0594,0.8571,0.0588
2,clab-nebula-serf73,20,69,128,65,63,4,0.5078,0.942,0.4924
2,clab-nebula-serf118,20,2,1,1,0,1,1.0,0.5,0.5
2,clab-nebula-serf5,20,14,43,13,30,1,0.3023,0.9286,0.2955
2,clab-nebula-serf87,20,24,133,24,109,0,0.1805,1.0,0.1805
2,clab-nebula-serf88,20,19,134,19,115,0,0.1418,1.0,0.1418
2,clab-nebula-serf153,20,9,18,9,9,0,0.5,1.0,0.5
2,clab-nebula-serf53,20,64,101,64,37,0,0.6337,1.0,0.6337
2,clab-nebula-serf69,20,54,107,51,56,3,0.4766,0.9444,0.4636
2,clab-nebula-serf60,20,70,101,69,32,1,0.6832,0.9857,0.6765
2,clab-nebula-serf145,20,5,144,4,140,1,0.0278,0.8,0.0276
2,clab-nebula-serf6,20,32,101,32,69,0,0.3168,1.0,0.3168
2,clab-nebula-serf11,20,57,101,57,44,0,0.5644,1.0,0.5644
2,clab-nebula-serf98,20,8,31,7,24,1,0.2258,0.875,0.2188
2,clab-nebula-serf138,20,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf150,20,9,18,9,9,0,0.5,1.0,0.5
2,clab-nebula-serf18,20,47,101,47,54,0,0.4653,1.0,0.4653
2,clab-nebula-serf30,20,45,70,42,28,3,0.6,0.9333,0.5753
2,clab-nebula-serf44,20,47,101,46,55,1,0.4554,0.9787,0.451
2,clab-nebula-serf131,20,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf35,20,26,70,24,46,2,0.3429,0.9231,0.3333
2,clab-nebula-serf40,20,35,101,35,66,0,0.3465,1.0,0.3465
2,clab-nebula-serf144,20,12,161,12,149,0,0.0745,1.0,0.0745
2,clab-nebula-serf152,20,14,18,14,4,0,0.7778,1.0,0.7778
2,clab-nebula-serf162,20,5,5,5,0,0,1.0,1.0,1.0
2,clab-nebula-serf41,20,14,101,14,87,0,0.1386,1.0,0.1386
2,clab-nebula-serf72,20,54,107,51,56,3,0.4766,0.9444,0.4636
2,clab-nebula-serf141,20,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf25,20,28,68,26,42,2,0.3824,0.9286,0.3714
2,clab-nebula-serf50,20,41,101,40,61,1,0.396,0.9756,0.3922
2,clab-nebula-serf51,20,64,101,64,37,0,0.6337,1.0,0.6337
2,clab-nebula-serf66,20,44,101,43,58,1,0.4257,0.9773,0.4216
2,clab-nebula-serf86,20,29,133,29,104,0,0.218,1.0,0.218
2,clab-nebula-serf90,20,49,130,47,83,2,0.3615,0.9592,0.3561
2,clab-nebula-serf143,20,2,103,1,102,1,0.0097,0.5,0.0096
2,clab-nebula-serf7,20,33,101,33,68,0,0.3267,1.0,0.3267
2,clab-nebula-serf37,20,65,101,65,36,0,0.6436,1.0,0.6436
2,clab-nebula-serf43,20,27,69,25,44,2,0.3623,0.9259,0.3521
2,clab-nebula-serf58,20,79,126,77,49,2,0.6111,0.9747,0.6016
2,clab-nebula-serf61,20,79,101,76,25,3,0.7525,0.962,0.7308
2,clab-nebula-serf112,20,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf15,20,68,101,68,33,0,0.6733,1.0,0.6733
2,clab-nebula-serf16,20,69,101,69,32,0,0.6832,1.0,0.6832
2,clab-nebula-serf77,20,67,128,63,65,4,0.4922,0.9403,0.4773
2,clab-nebula-serf121,20,15,40,14,26,1,0.35,0.9333,0.3415
2,clab-nebula-serf140,20,13,144,12,132,1,0.0833,0.9231,0.0828
2,clab-nebula-serf148,20,6,18,6,12,0,0.3333,1.0,0.3333
2,clab-nebula-serf154,20,9,18,9,9,0,0.5,1.0,0.5
2,clab-nebula-serf156,20,12,18,12,6,0,0.6667,1.0,0.6667
2,clab-nebula-serf23,20,11,24,10,14,1,0.4167,0.9091,0.4
2,clab-nebula-serf39,20,81,101,79,22,2,0.7822,0.9753,0.767
2,clab-nebula-serf62,20,48,101,48,53,0,0.4752,1.0,0.4752
2,clab-nebula-serf107,20,15,40,14,26,1,0.35,0.9333,0.3415
2,clab-nebula-serf115,20,0,0,0,0,0,1.0,1.0,1.0
2,clab-nebula-serf151,20,11,18,11,7,0,0.6111,1.0,0.6111
2,clab-nebula-serf158,20,8,18,8,10,0,0.4444,1.0,0.4444
2,clab-nebula-serf28,20,4,20,4,16,0,0.2,1.0,0.2
2,clab-nebula-serf29,20,14,64,13,51,1,0.2031,0.9286,0.2
2,clab-nebula-serf130,25,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf161,25,22,155,22,133,0,0.1419,1.0,0.1419
2,clab-nebula-serf32,25,88,109,84,25,4,0.7706,0.9545,0.7434
2,clab-nebula-serf63,25,64,126,63,63,1,0.5,0.9844,0.4961
2,clab-nebula-serf45,25,80,101,78,23,2,0.7723,0.975,0.7573
2,clab-nebula-serf49,25,84,101,82,19,2,0.8119,0.9762,0.7961
2,clab-nebula-serf83,25,50,130,48,82,2,0.3692,0.96,0.3636
2,clab-nebula-serf91,25,81,109,77,32,4,0.7064,0.9506,0.6814
2,clab-nebula-serf136,25,18,161,18,143,0,0.1118,1.0,0.1118
2,clab-nebula-serf146,25,8,155,7,148,1,0.0452,0.875,0.0449
2,clab-nebula-serf12,25,71,101,71,30,0,0.703,1.0,0.703
2,clab-nebula-serf19,25,73,101,73,28,0,0.7228,1.0,0.7228
2,clab-nebula-serf80,25,84,126,79,47,5,0.627,0.9405,0.6031
2,clab-nebula-serf111,25,73,138,72,66,1,0.5217,0.9863,0.518
2,clab-nebula-serf109,25,87,138,86,52,1,0.6232,0.9885,0.6187
2,clab-nebula-serf147,25,14,18,14,4,0,0.7778,1.0,0.7778
2,clab-nebula-serf4,25,23,67,21,46,2,0.3134,0.913,0.3043
2,clab-nebula-serf100,25,25,144,24,120,1,0.1667,0.96,0.1655
2,clab-nebula-serf75,25,76,128,72,56,4,0.5625,0.9474,0.5455
2,clab-nebula-serf89,25,41,134,41,93,0,0.306,1.0,0.306
2,clab-nebula-serf101,25,22,144,21,123,1,0.1458,0.9545,0.1448
2,clab-nebula-serf105,25,54,138,54,84,0,0.3913,1.0,0.3913
2,clab-nebula-serf65,25,62,126,60,66,2,0.4762,0.9677,0.4688
2,clab-nebula-serf68,25,79,128,75,53,4,0.5859,0.9494,0.5682
2,clab-nebula-serf94,25,81,109,77,32,4,0.7064,0.9506,0.6814
2,clab-nebula-serf103,25,27,144,26,118,1,0.1806,0.963,0.1793
2,clab-nebula-serf117,25,1,32,1,31,0,0.0312,1.0,0.0312
