hilbert_order,gt,found,fp,fn,precision,recall,jaccard
2,73.88636363636364,118.27272727272727,44.38636363636363,0.0,0.5322358585858585,0.9090909090909091,0.5322358585858585
4,73.88636363636364,114.59343434343434,40.707070707070706,0.0,0.5589699494949495,0.9090909090909091,0.5589699494949495
6,73.88636363636364,114.5,40.61363636363637,0.0,0.570820202020202,0.9090909090909091,0.570820202020202
8,73.88636363636364,118.6590909090909,44.77272727272727,0.0,0.5627227272727273,0.9090909090909091,0.5627227272727273
10,73.88636363636364,118.46464646464646,44.57828282828283,0.0,0.5621722222222223,0.9090909090909091,0.5621722222222223
12,73.88636363636364,118.22222222222223,44.33585858585859,0.0,0.5641222222222222,0.9090909090909091,0.5641222222222222
14,73.88636363636364,118.22222222222223,44.33585858585859,0.0,0.5634020202020202,0.9090909090909091,0.5634020202020202
16,73.88636363636364,118.21717171717172,44.33080808080808,0.0,0.5640333333333334,0.9090909090909091,0.5640333333333334
