Loading input data...

=== Max RTT found in dataset: 83.2830 ms ===

=== Step 1: Normalization Range per Dimension ===
Dimension 0: min = -0.0202, max = 0.0239
Dimension 1: min = -0.0255, max = 0.0244
Dimension 2: min = -0.0236, max = 0.0344
Dimension 3: min = -0.0413, max = 0.0273
Dimension 4: min = -0.0105, max = 0.0475

=== Step 2: Building Hilbert Index Map ===
[Hilbert] clab-nebula-serf130 -> Vec: [0.000767787116262343, 0.009861795659454477, -0.014259380514583368, -0.0167819877250273, -0.0006518329495618878], NormVec: [60, 90, 20, 45, 21], Index: 17122064750
[Hilbert] clab-nebula-serf161 -> Vec: [-0.01112235283920465, 0.006490518322626087, -0.019897130077183994, -0.020840590789617173, -0.00718719346204088], NormVec: [26, 81, 8, 37, 7], Index: 16945449539
[Hilbert] clab-nebula-serf32 -> Vec: [0.0005880178575725681, -0.0160457664593151, 0.008614732996894086, 0.01332266352795639, 0.007764992386620772], NormVec: [59, 24, 70, 101, 40], Index: 4947869956
[Hilbert] clab-nebula-serf63 -> Vec: [-0.0024354495398439405, -0.00492663808038569, 0.001985628532485856, 0.004320576892951994, 0.012656330642969869], NormVec: [51, 52, 56, 84, 50], Index: 3500116689
[Hilbert] clab-nebula-serf45 -> Vec: [-0.004982003723814044, -0.01153884927868209, 0.00842674318647858, 0.005842832649305759, 0.006820013501725623], NormVec: [43, 35, 70, 87, 37], Index: 4898654106
[Hilbert] clab-nebula-serf49 -> Vec: [-0.004666012980933246, -0.010527450039646433, 0.007477667975088767, 0.005962590365673757, 0.0062456022554712816], NormVec: [44, 38, 68, 87, 36], Index: 4898657673
[Hilbert] clab-nebula-serf83 -> Vec: [0.004121865321655122, 0.006679654628844876, 0.001823397539614048, 0.0075842721979620265, 0.014482610030864575], NormVec: [70, 81, 55, 90, 54], Index: 20407974934
[Hilbert] clab-nebula-serf91 -> Vec: [0.0025125651233988823, 0.004485610805415007, 0.0020010739512853286, 0.0056855762698444215, 0.01355958698067427], NormVec: [65, 76, 56, 87, 52], Index: 20402304034
[Hilbert] clab-nebula-serf136 -> Vec: [0.0008894322328106029, 0.010622230653688383, -0.014600647858200436, -0.016601978646343087, -0.00045371887461021984], NormVec: [60, 91, 19, 45, 22], Index: 17122063663
[Hilbert] clab-nebula-serf146 -> Vec: [-0.007160887363691633, 0.007972384204599371, -0.004971283435254089, -0.017602441097947813, -0.008488156718890296], NormVec: [37, 85, 40, 43, 4], Index: 17086635937
[Hilbert] clab-nebula-serf12 -> Vec: [-0.007682951446674569, -0.006061709723058228, -0.0008715669854204028, 0.00835271206030279, 0.01814567623230076], NormVec: [36, 49, 49, 91, 62], Index: 3496551105
[Hilbert] clab-nebula-serf19 -> Vec: [-0.005716240191250912, -0.008265925554729017, -0.0026031732576690457, 0.007944938295173185, 0.019538357864169423], NormVec: [41, 43, 45, 91, 65], Index: 2949860447
[Hilbert] clab-nebula-serf80 -> Vec: [-0.0007670805072551902, 0.0012775508625355134, 0.0013599788170499307, 0.0025028006470751646, 0.01260630580475167], NormVec: [56, 68, 54, 81, 50], Index: 13957327755
[Hilbert] clab-nebula-serf111 -> Vec: [-0.00299272979757717, 0.0020547441511175046, 0.0012991210353383758, -0.010352622235462353, 0.009535488299311463], NormVec: [49, 70, 54, 57, 43], Index: 16187859425
